video,video_stem,track_id,species,frame_index,crop_path,confidence,source,bbox_x,bbox_y,bbox_w,bbox_h,crop_x1,crop_y1,crop_x2,crop_y2,dwell_time_s
01100301.mp4,01100301,1,unknown_animal,0,crops\unknown_animal\01100301__tid1__f0.jpg,0.9493,high,822.09912109375,283.85931396484375,279.4891357421875,203.11807250976562,808,274,1116,497,4.34
01100301.mp4,01100301,1,unknown_animal,8,crops\unknown_animal\01100301__tid1__f8.jpg,0.9481,high,835.4371948242188,284.3182067871094,301.31781005859375,207.327880859375,820,274,1152,502,4.34
01100301.mp4,01100301,1,unknown_animal,10,crops\unknown_animal\01100301__tid1__f10.jpg,0.9554,high,843.57373046875,284.6704406738281,296.0150146484375,207.220458984375,829,274,1154,502,4.34
01100301.mp4,01100301,1,unknown_animal,12,crops\unknown_animal\01100301__tid1__f12.jpg,0.9494,high,848.8701171875,284.5570373535156,308.69091796875,206.84945678710938,833,274,1173,502,4.34
01100301.mp4,01100301,1,unknown_animal,30,crops\unknown_animal\01100301__tid1__f30.jpg,0.9139,high,857.487548828125,286.0247497558594,347.6143798828125,209.76748657226562,840,276,1222,506,4.34
01100301.mp4,01100301,1,unknown_animal,54,crops\unknown_animal\01100301__tid1__f54.jpg,0.9152,high,895.1038208007812,293.1122131347656,318.50750732421875,200.45907592773438,879,283,1230,504,4.34
01100301.mp4,01100301,1,unknown_animal,80,crops\unknown_animal\01100301__tid1__f80.jpg,0.901,high,925.1090698242188,295.3250427246094,305.92864990234375,212.06475830078125,910,285,1246,518,4.34
01100301.mp4,01100301,1,unknown_animal,104,crops\unknown_animal\01100301__tid1__f104.jpg,0.8948,high,956.00048828125,303.720703125,273.7322998046875,185.86279296875,942,294,1243,499,4.34
01100301.mp4,01100301,2,unknown_animal,52,crops\unknown_animal\01100301__tid2__f52.jpg,0.7757,high,227.02117919921875,236.31007385253906,138.09454345703125,101.46687316894531,220,231,372,343,1.74
01100301.mp4,01100301,2,unknown_animal,54,crops\unknown_animal\01100301__tid2__f54.jpg,0.6778,low,234.5400848388672,235.91668701171875,136.5923309326172,100.28082275390625,228,231,378,341,1.74
01100301.mp4,01100301,2,unknown_animal,56,crops\unknown_animal\01100301__tid2__f56.jpg,0.6896,low,246.1691131591797,235.4959259033203,124.15830993652344,100.32356262207031,240,230,377,341,1.74
01100301.mp4,01100301,2,unknown_animal,64,crops\unknown_animal\01100301__tid2__f64.jpg,0.6631,low,251.8614959716797,234.14537048339844,113.80024719238281,103.56950378417969,246,229,371,343,1.74
01100301.mp4,01100301,2,unknown_animal,72,crops\unknown_animal\01100301__tid2__f72.jpg,0.6387,low,255.9844512939453,233.32814025878906,117.46821594238281,104.00697326660156,250,228,379,343,1.74
01100301.mp4,01100301,2,unknown_animal,80,crops\unknown_animal\01100301__tid2__f80.jpg,0.5529,low,270.1916809082031,233.5802764892578,95.81524658203125,104.41731262207031,265,228,371,343,1.74
01100301.mp4,01100301,2,unknown_animal,88,crops\unknown_animal\01100301__tid2__f88.jpg,0.3692,low,298.5736389160156,243.0246124267578,66.3792724609375,97.54060363769531,295,238,368,345,1.74
01100301.mp4,01100301,2,unknown_animal,96,crops\unknown_animal\01100301__tid2__f96.jpg,0.402,low,310.4151916503906,242.166748046875,51.972900390625,94.82052612304688,308,237,365,342,1.74
01100301.mp4,01100301,3,unknown_animal,154,crops\unknown_animal\01100301__tid3__f154.jpg,0.729,high,531.1010131835938,278.3219909667969,167.712646484375,133.36367797851562,523,272,707,418,4.81
01100301.mp4,01100301,3,unknown_animal,180,crops\unknown_animal\01100301__tid3__f180.jpg,0.8436,high,563.0994262695312,278.510986328125,271.911865234375,144.03945922851562,550,271,849,430,4.81
01100301.mp4,01100301,3,unknown_animal,208,crops\unknown_animal\01100301__tid3__f208.jpg,0.9469,high,692.5319213867188,285.970458984375,286.78125,197.09237670898438,678,276,994,493,4.81
01100301.mp4,01100301,3,unknown_animal,214,crops\unknown_animal\01100301__tid3__f214.jpg,0.9581,high,708.7265014648438,294.4653015136719,315.54034423828125,192.74713134765625,693,285,1040,497,4.81
01100301.mp4,01100301,3,unknown_animal,216,crops\unknown_animal\01100301__tid3__f216.jpg,0.963,high,709.7604370117188,295.4382019042969,327.09063720703125,203.16250610351562,693,285,1053,509,4.81
